name,href,heat,kouwei,waiguan,xingjiabi,zonghe,type,tar,nicotine,co,length,filter_length,circumference,packaging,main_color,sub_color,per_pack_count,packs_per_carton,pack_price,carton_price,pack_barcode
白沙(和天下) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/15,,,,,,烤烟型,11,11,13,84,25,24,纸质硬盒,深紫,紫,20,10,100,1000,6901028196925
白沙(硬天天向上细支) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/6621,,,,,,烤烟型,5,05,5,97,,,纸质硬盒,粉红,,20,10,18,180,6901028064835
白沙(和天下尊品细支) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/5086,,,,,,烤烟型,7,07,7,84,,,纸质硬盒,蓝绿,金色,20,10,100,1000,6901028245159
白沙(硬和天下尊享) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3652,,,,,,烤烟型,10,09,11,75,25,,纸质硬盒,白色,金色,20,10,100,1000,6901028063036
白沙(和天下尊品中支) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/4759,,,,,,烤烟型,10,09,7,89,,,纸质硬盒,藏青,,20,10,150,1500,6901028245128
白沙(硬精品三代) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3212,,,,,,烤烟型,10,09,11,84,,,纸质硬盒,棕色,,20,10,15,150,6901028192729
白沙(细支和天下) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3883,,,,,,烤烟型,7,06,6,97,,,纸质硬盒,棕色,红色,20,10,100,1000,6901028196048
白沙(硬和气生财) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/4434,,,,,,烤烟型,11,11,11,84,,,纸质硬盒,金色,棕色,20,10,55,550,6901028201445
白沙(硬和天下双中支) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3914,,,,,,烤烟型,10,09,10,89,25,20,纸质硬盒,紫色,金色,20,10,100,900,6901028204798
白沙(天天向上) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3235,,,,,,烤烟型,8,08,7,97,,,纸质硬盒,白,蓝,20,10,16,160,6901028192095
白沙(瑞中支) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/5256,,,,,,烤烟型,8,07,6,88,,,纸质硬盒,蓝绿,白色,20,10,20,200,6901028245395
白沙(长丰) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/6882,,,,,,烤烟型,10,,,84,,,纸质硬盒,,,20,10,7,70,6901028249249
白沙(昭君) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/6890,,,,,,烤烟型,8,08,8,83,,,纸质硬盒,红色,,20,10,15,150,6901028249270
白沙(软和天下) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3345,,,,,,烤烟型,10,1,12,84,,,纸质硬盒,黑色,紫色,20,10,100,1000,6901028196017
白沙(硬新精品二代) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/4144,,,,,,烤烟型,8,08,9,84,,,纸质硬盒,蓝色,,20,10,13,130,6901028063364
